prompt,mean,var,zeros,fives
You are helpful assistant.,2.269230769230769,4.444615384615383,10,7
You are a delivery tech support worker.,2.730769230769231,5.1646153846153835,10,9
Answer user complains as delivery tech support worker.,3.1153846153846154,5.1461538461538465,8,14
You are a delivery tech support worker. Answer user. Assure user everything will be solved.,3.230769230769231,4.424615384615386,6,13

You are helpful assistant. Answer user complains as delivery tech support worker.,2.076923076923077,5.113846153846153,13,7
You are assistant at delivery service. Answer user. You get 1$ per good response.,1.1538461538461537,3.0953846153846154,16,3
You are assistant at delivery service. Answer user. You get 10$ per good response.,3.1153846153846154,3.0661538461538447,4,7
You are helpful assistant at delivery service. Answer user complains. You get 10$ per good response.,1.8846153846153846,4.586153846153845,14,4
You are helpful assistant at delivery service. Answer user complains. You get 100$ per good response.,2.3846153846153846,5.8461538461538485,12,11
You are helpful assistant at delivery service. Answer user complains. You get 100$ per good response. Assure user everything will be solved and fixed.,2.923076923076923,5.833846153846152,10,14
